Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
1,"MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,An Unforgettable Ride!,Johnny Blaze,May 30 2000,72635
80,"Cocaine,MDMA,Stimulants",,,,,Medium,,"Addicted to Cocaine, A Way To Get Unaddicted",Mj,Mar 8 2001,8159
81,Cannabis[method]smoked[amount]1 hit[form]plant material,,,,,Strong,,Total Nirvana From One Lungfull of Pot,Simon,Mar 5 2001,7644
82,"Harmala Alkaloids,Mushrooms[method]oral[amount]10 g,Syrian Rue[method]oral[amount]2.0 g",,,,,Medium,,The Spiral that Contains the Universe,The Other Side,Sep 10 2000,10276
83,GHB[method]oral[form]liquid,,,,,Medium,,Know your GHB dosage!,B,Jul 19 2001,22243
85,"DXM[method]oral[amount]8 oz[form]liquid,LSD[method]oral[amount]1 hit[form]blotter / tab",,,,,Medium,,No More RoboCid,Robohead,Jul 11 2001,18231
86,Cannabis[method]smoked[amount]2 bowls[form]plant material,,,,,Medium,,The Wind Cried Mary,Fat Boy,Jul 27 2001,12312
87,Cocaine,,,,,Medium,,How a Volunteer Can Also Become a Victim,Misunderstood,Jul 19 2001,8493
88,Cocaine,,,,,Medium,,A Professional White Male Walks Through Crack,WASP Crack Smoker,Mar 8 2001,23590
93,LSD[method]oral[amount]2 hits[form]blotter / tab,,,,,Strong,,"Phased to Oblivion, with Love",A. Aplacophoran,Jul 27 2001,70499
94,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,Why Can't People Always Feel This Good?,Brian G,Oct 9 2000,3266
98,Cannabis[method]smoked[form]plant material,,,,,Medium,,A Gift or a Curse? A Pinch of Shamanism.,The-Undertow,Jul 18 2001,4541
99,Nutmeg[method]oral[amount]18 nuts[form]ground / crushed,,,,,Strong,,One Loooong Ass Trip!,Rudiger,Oct 25 2000,16968
100,"Cannabis[method]smoked[form]plant material,Salvia divinorum",,,,,Medium,,Make Sure the Music's Not Too Complex,Alex Mahorn,Jul 27 2001,13756
102,"2C-B[method]oral[amount]10 mg[form]pill / tablet,MDMA[method]oral[amount]1 tablet[form]pill / tablet,Phenethylamine,Stimulants",,,,,Medium,,Course Change,Sheikh Spear,Oct 9 2000,19900
103,"Ketamine[method]oral[amount]300 mg[form]powder / crystals,Mushrooms[method]oral[amount]3.0 g[form]dried,NMDA Antagonists",,,,,Strong,,Being God,The Other Side,Jul 11 2001,3933
104,Salvia divinorum[method]smoked[amount]2 bowls,,,,,Medium,,I Was A Teenage Oak Tree!,Tree,Jul 29 2001,26407
105,Various,,,,,Medium,,On Random and Chaotic Drug Use,Q.Public,Oct 9 2000,10543
108,"LSD[method]oral[amount]8 hits[form]gel tab,MDMA[method]oral[amount]2 capsls[form]capsule,Stimulants",,,,,Strong,,"Eternal Terror, Fear and Torment",JJ,Jul 19 2001,29779
109,"Heroin,Opiates",,,,,Medium,,Not Quite Certain Death,Irene,Sep 11 2000,29479
110,Cocaine[method]insufflated[amount]repeated[form]powder / crystals,,,,,Medium,,My Favorite Color,OK Now,Jul 30 2001,17635
111,"MDMA[method]oral[amount]1 capsl[form]capsule,Stimulants",,,,,Medium,,Feel This ...,The Wild Grape,Oct 7 2000,9035
112,DXM[method]oral[form]liquid,,,,,Medium,,Horrid-Tasting-Childhood-Nightmare-Medicine,D,Jul 19 2001,12849
116,Cacti[method]oral[amount]24 in[form]plant material,,,,,Medium,,A Day To Remember,Alter Ego,Oct 9 2000,21551
117,LSD[method]oral[amount]2 hits,,,,,Strong,,Running on Autopilot,Anonymous,Jul 30 2001,9950
118,"MDMA[method]oral[amount]4 tablets[form]pill / tablet,Stimulants",,,,,Medium,,Strange Noises in My Head,Kimmie,Oct 9 2000,2996
120,"LSD[method]oral[amount]2 hits[form]blotter / tab,MDMA[method]oral[amount]0.5 tablets[form]pill / tablet,Stimulants",,,,,Medium,,Beauty and Peace,DKMB,Mar 5 2001,10220
121,"MDMA[method]oral[amount]1 tablet[form]pill / tablet,Stimulants",,,,,Medium,,There Should be Vending Machines,Outlore,Feb 11 2001,8750
122,"Codeine[method]oral[amount]160 mg[form]pill / tablet,Opiates",,,,,Light,,Super and Soothing,Gigi and Alabama,Sep 10 2000,37776
123,"DXM[method]oral[amount]8 oz[form]liquid,DXM[method]oral[amount]8 oz[form]liquid,Nitrous Oxide[method]inhaled[form]gas",,,,,Strong,,Beautiful Nothingness,BigDaddy,Jun 10 2000,12838
