"drug","amount","badtrip","mystical","addiction","alone","smallgroup","largegroup"
"2C-C","82","1.22","0","2.44","34.15","37.8","0"
"JWH-018","81","22.22","1.23","3.7","45.68","33.33","0"
"Lotus/Lily","81","1.23","4.94","2.47","40.74","23.46","0"
"Clonazepam","80","2.5","0","15","36.25","11.25","1.25"
"Diazepam","80","7.5","2.5","15","32.5","25","1.25"
"Gabapentin","77","0","0","11.69","23.38","9.09","0"
"Wormwood","75","0","4","0","46.67","22.67","1.33"
"Quetiapine","74","0","1.35","6.76","16.22","16.22","1.35"
"Poppies - Opium","74","0","0","6.76","45.95","13.51","0"
"MDA","73","0","1.37","2.74","10.96","46.58","2.74"
"Methadone","71","2.82","0","35.21","26.76","11.27","1.41"
"Brugmansia","70","2.86","2.86","1.43","35.71","34.29","0"
"Banisteriopsis caapi","69","0","26.09","0","40.58","33.33","2.9"
"GBL","69","1.45","0","44.93","20.29","14.49","1.45"
"PCP","69","7.25","4.35","2.9","13.04","55.07","1.45"
"Catnip","68","0","2.94","1.47","67.65","13.24","0"
"MDPV","68","1.47","0","22.06","38.24","17.65","2.94"
"Morphine","68","2.94","1.47","19.12","27.94","14.71","1.47"
